% Tuits de entrenamiento para los clasificadores
% Mismo conjunto de muestra utilizado para el diccionario

@relation Telecom_Tweets

@attribute text string
@attribute @@class@@ {pos,neg}

@data

' le pide saldo a los de personal no le pasan se muda a  ',pos
'bien ahi hbo fre  ',pos
'verdad gracias tigo xtraer a ese grupo peo el abrazo nos merecemos nosotros por invertir nuestra plata ahi  ',pos
'2 hay plus wifi en el camarote chera  ',pos
'en serio libera _emopos_  ',pos
'punto para que libera" hbo este domingo para ver el estreno de la 3ra temporada de game of thrones "  ',pos
'ya son 5 avisos de llamadas perdidas trabajo en un medio de comunicacion mejoren sus servicios me voy a  ',pos
'un lujo el internet wifi por cable de velocidad y estabilidad mejor decision enluque  ',pos
'buenisima musica thekillerpy  ',pos
'que no puedo crer ah _emopos_  ',pos
'gracias tigo lo mejor de lo mejor  ',pos
'_emopos_  ',pos
'al fin algo bueno sres  ',pos
'bien ahi  ',pos
'buenisimo gracias  ',pos
'felicidades  ',pos
'felicidades _emopos_  ',pos
'felicidades tigo _emopos_ mi sueño es tigo paraguay _emopos_  ',pos
'gracias totales  ',pos
'gracias espero mas fotos y de la gente del vip tambien son lo mejor _emopos_  ',pos
'habemus señal en el concierto gracias tigo  ',pos
'la primera en vaticinar la debacle de la seleccion nacional tb q grande  ',pos
'que buena noticia enserio les amo carajo _emopos_  ',pos
'que increible _emopos_  ',pos
' fail total la publicidad del taxista de ahora mismo   ',neg
' teacuerdascuando te reias por la propaganda "que mostro" y no te robaba tanto   ',neg
'siempre roban  ',neg
'mopio tigo deja de robar   ',neg
'sonrei  tigo te jode  roba y asesina tu saldo  ',neg
'por la culpa de la propaganda de perdimos y gracias al taxista q se presto     ',neg
'kore tu publicidad pro-haedo saca ya por favor  estas haciendo papelon   _emoneg_ pudranse tigo  ',neg
'tengo conexion de va a terminar la semana santa para cuando descargue todo      ',neg
'los d  tigotv tardaron 10 dias n atendr mi reclamo porq n soy gnte publica @tigo_paraguay s un kilombo  call cntr bien gracias   ',neg
'sos masoquista fatima  eso es  ',neg
'tigo te esta fastidiando la vida paola  ',neg
'tigo sos una mierda    cc  ',neg
'tampoco asi claro roba menos  ',neg
'estoy podrido de haedo y ustedes de que pagan para que el jueguejajajajajajajaja auspicio a full q pucha  ',neg
'con eso nos quieren decir que nos joden como profesionales o con estilo   ',neg
'no zoey no tiene la culpa de eso  son los de _emoneg_      ',neg
'tantas quejas ya he escuchado y leido de yo que vos me mudo a realmente excelente servicio  ',neg
'que servicio de mierda  no hay señal por semana santa pio asereje ja deje dejeve dhshshsj  ',neg
'me imagino que ya mando quemar su putisima publicidad de la vieja chota de haedo valdez verdad   hahaha  ',neg
'encima te cortan la internet y igual te chupa todo tu paquetes de datos  son todos ladrones de guante blanco este  ',neg
'nuestro sistema esta teniendo problemas" - siempre con la misma excusa " a vos tambien te troleo  jajaja  ',neg
'estoy pensando seriamente en hacer la portabilidad  tigodemierda nos mudamos todos mierda  ',neg
'maldito seas  ',neg
'su servicio es una mierda  encima tardan años en atender una maldita llamada  yo me voy a mudar a vox o que  ',neg
'hablando con mi culo cambio y fuera _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ _emopos_ tigo no tkm erema  ',neg
'la atencion telefonica de es l-a-m-e-n-t-a-b-l-e escuchaste "el tiempo de espera es mayor a 6 minutos" jaja  ',neg
